,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923167192,2024-11-04,[넥스트유] 2포트 KVM스위치 NEXT-7602KVM-4K 블랙,디피이,정상(EA/1),"35,920 ","44,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923167109,2024-11-04,[넥스트유] 2포트 KVM스위치 NEXT-7602KVM-4K 화이트,디피이,정상(EA/1),"35,920 ","44,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923177139,2024-11-04,[넥스트유] 4포트 유전원 허브 NEXT-704U3,디피이,정상(EA/1),"19,920 ","24,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923167031,2024-11-04,[넥스트유] Type-C to HDMI 4K UHD 아답터 NEXT-1442CHPD-4K60,디피이,정상(EA/1),"13,520 ","16,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,아답터, ,
디지털,8800923167178,2024-11-04,[넥스트유] USB-C 3.1 TO A 4포트 USB 허브 NEXT-615TC,디피이,정상(EA/1),"6,320 ","7,900 ",2 ,EA(1),1 ,2 ,"12,640 ", /  [],0 ,0 ,2 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923167024,2024-11-04,[넥스트유] USB-C to A 4포트 허브 NEXT-3280TC-10G,디피이,정상(EA/1),"23,120 ","28,900 ",1 ,EA(1),1 ,1 ,"23,120 ", /  [],0 ,0 ,1 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923167161,2024-11-04,[넥스트유] USB 2.0 7포트 USB 허브 NEXT-717UH,디피이,정상(EA/1),"12,720 ","15,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923167185,2024-11-04,[넥스트유] USB 3.0 4포트 허브 664U3,디피이,정상(EA/1),"11,920 ","14,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923177245,2024-11-04,[넥스트유] USB C타입 멀티허브 M2395HCT,디피이,정상(EA/1),"35,920 ","44,900 ",1 ,EA(1),1 ,1 ,"35,920 ", /  [],0 ,0 ,1 ,0 ,0 ,,,N,N,USB허브, ,
디지털,8800923167154,2024-11-04,[넥스트유] USB3.0 Type-C 4포트 USB 허브 NEXT-328TC,디피이,정상(EA/1),"12,720 ","15,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,USB허브, ,
